quarter,months,n_models,mean_score,variance,std,ceiling_compression,kendall_tau,score_range_90_10,max_score,min_score
2022Q1,0.0,17,0.005642438244179818,2.27554204292316e-05,0.004770264188620123,0.8076923076923073,,0.01117824773413896,0.0135951661631419,0.0
2022Q2,2.9566360052562417,8,0.007647280966767337,1.1154500363137398e-05,0.003339835379646338,0.6363636363636445,,0.0066465256797582795,0.0135951661631419,0.0037764350453172
2022Q4,8.968462549277266,8,0.007741691842900276,2.522241360651012e-05,0.005022192111668979,0.600000000000004,,0.01117824773413898,0.0143504531722054,0.0
2023Q1,11.990801576872535,14,0.013433318946914059,2.186861932802554e-05,0.004676389561192004,0.578947368421054,,0.009894259818731184,0.0234138972809667,0.0083081570996978
2023Q2,14.947437582128778,26,0.01275273065303272,4.3232853071664336e-05,0.006575169432924473,0.6578947368421062,,0.01435045317220545,0.0309667673716012,0.0
2023Q3,17.936925098554532,36,0.029707955689828765,0.004363127129439959,0.0660539713373841,-0.10638297872339497,,0.027567975830815702,0.4108761329305136,0.0045317220543806
2023Q4,20.9592641261498,75,0.040855991943605195,0.0006692429598847031,0.025869730572325316,0.29292929292929315,,0.0649546827794562,0.1019637462235649,0.0
2024Q1,23.98160315374507,145,0.05366645335079543,0.0014624676005730042,0.03824222274623958,0.45312500000000056,,0.07870090634441095,0.202416918429003,0.0
2024Q2,26.971090670170828,465,0.09534217139693336,0.006340029177626318,0.07962430017040224,0.2615740740740745,,0.1965256797583082,0.4176737160120846,0.0
2024Q3,29.96057818659658,663,0.123679102131208,0.014298739592744966,0.11957733728740143,-0.8231292517006807,,0.2361027190332327,0.6253776435045317,0.0
2024Q4,32.98291721419185,1116,0.17162882110255656,0.020148865996301616,0.14194670125191924,0.20368474923234403,,0.3651812688821752,0.6231117824773413,0.0
2025Q1,36.00525624178712,1472,0.1972294512675686,0.028882615566254755,0.16994886162094394,0.6237309644670053,,0.4552870090634442,0.7145015105740181,0.0
