quarter,n_models,mean_score,std_score,min_score,max_score
2022Q1,17,0.30289709620537875,0.009607115903867078,0.2765842029929075,0.3191044431037278
2022Q2,8,0.30974678672139094,0.004446259461787884,0.3025950541549823,0.3165038032087756
2022Q3,1,0.313042860039338,,0.313042860039338,0.313042860039338
2022Q4,8,0.39093924694984683,0.07701941741361008,0.2876313273066933,0.5065888015776924
2023Q1,14,0.32860470951921983,0.051898845839441696,0.2970437484241321,0.5053738049125648
2023Q2,26,0.333955588157523,0.04125454914179109,0.2877029244540947,0.4702556052882764
2023Q3,36,0.406451596190487,0.10002269914140673,0.2787726232894545,0.7266099425567868
2023Q4,75,0.44502199853655205,0.07656173266517785,0.2919800780121471,0.5560872910766164
2024Q1,145,0.44484807691115996,0.08393941143744102,0.2884549938995566,0.6373342606775594
2024Q2,465,0.49568560072020484,0.08932032414523665,0.2863444769655102,0.7073179916851792
2024Q3,663,0.4952854986995437,0.09431619588348701,0.2861834296481826,0.7478466526577329
2024Q4,1116,0.49417548180224236,0.11323921287089905,0.2606595454586609,0.7420334281529087
2025Q1,1472,0.48514717623731624,0.1279138852288501,0.2178209789407808,0.8269136508088061
