quarter,n_models,mean_score,std_score,min_score,max_score
2022Q1,17,0.005642438244179818,0.004770264188620122,0.0,0.0135951661631419
2022Q2,8,0.007647280966767337,0.003339835379646339,0.0037764350453172,0.0135951661631419
2022Q3,1,0.0,,0.0,0.0
2022Q4,8,0.007741691842900275,0.005022192111668979,0.0,0.0143504531722054
2023Q1,14,0.013433318946914059,0.004676389561192003,0.0083081570996978,0.0234138972809667
2023Q2,26,0.01275273065303272,0.006575169432924473,0.0,0.0309667673716012
2023Q3,36,0.029707955689828758,0.06605397133738411,0.0045317220543806,0.4108761329305136
2023Q4,75,0.04085599194360519,0.025869730572325306,0.0,0.1019637462235649
2024Q1,145,0.05366645335079543,0.038242222746239576,0.0,0.202416918429003
2024Q2,465,0.09534217139693336,0.07962430017040222,0.0,0.4176737160120846
2024Q3,663,0.12367910213120802,0.11957733728740143,0.0,0.6253776435045317
2024Q4,1116,0.17162882110255656,0.1419467012519193,0.0,0.6231117824773413
2025Q1,1472,0.1972294512675686,0.16994886162094378,0.0,0.7145015105740181
