model,score,release_date,eval_date,params_b
openai-community/gpt2,0.44705208333333335,2022-03-02,2024-06-12,0.137
EleutherAI/gpt-neo-125m,0.3593333333333333,2022-03-02,2024-08-10,0.15
EleutherAI/gpt-neo-2.7B,0.3553645833333334,2022-03-02,2024-06-12,2.718
openai-community/gpt2,0.43902083333333336,2022-03-02,2024-08-12,0.137
EleutherAI/gpt-j-6b,0.36575,2022-03-02,2024-08-19,6.0
google/mt5-small,0.38575,2022-03-02,2024-09-06,0.17
google/mt5-xl,0.3795208333333333,2022-03-02,2024-09-06,3.23
distilbert/distilgpt2,0.42072916666666665,2022-03-02,2024-06-12,0.088
openai-community/gpt2-medium,0.3884479166666666,2022-03-02,2024-06-12,0.38
google/mt5-xxl,0.36894791666666665,2022-03-02,2024-09-06,11.9
openai-community/gpt2-xl,0.37095833333333333,2022-03-02,2024-06-12,1.608
microsoft/DialoGPT-medium,0.4286666666666667,2022-03-02,2024-06-13,0.345
gpt2,0.43241666666666667,2022-03-02,2024-06-26,0.137
gpt2,0.4333333333333333,2022-03-02,2024-06-26,0.137
EleutherAI/gpt-neo-1.3B,0.38165625,2022-03-02,2024-06-12,1.366
openai-community/gpt2-large,0.3788645833333333,2022-03-02,2024-06-12,0.812
google/mt5-base,0.36720833333333336,2022-03-02,2024-09-06,0.39
EleutherAI/gpt-neox-20b,0.36466666666666664,2022-04-07,2024-06-09,20.739
facebook/opt-1.3b,0.342,2022-05-11,2024-06-12,1.3
facebook/opt-30b,0.36041666666666666,2022-05-11,2024-06-12,30.0
bigscience/bloom-7b1,0.34869791666666666,2022-05-19,2024-06-13,7.069
bigscience/bloom-560m,0.4030833333333333,2022-05-19,2024-06-13,0.559
bigscience/bloom-3b,0.3980625,2022-05-19,2024-06-13,3.003
bigscience/bloom-1b7,0.38857291666666666,2022-05-19,2024-06-13,1.722
bigscience/bloom-1b1,0.36999999999999994,2022-05-19,2024-06-13,1.065
postbot/gpt2-medium-emailgen,0.3911145833333333,2022-09-29,2024-11-17,0.38
google/flan-t5-large,0.40832291666666665,2022-10-21,2024-08-14,0.783
google/flan-t5-xxl,0.42175,2022-10-21,2024-09-06,11.267
google/flan-t5-xl,0.42203125,2022-10-21,2024-08-07,2.85
google/flan-t5-xl,0.41809375,2022-10-21,2024-08-07,2.85
google/flan-t5-small,0.41229166666666667,2022-10-21,2024-06-27,0.077
google/flan-t5-base,0.36711458333333336,2022-10-21,2024-08-14,0.248
google/switch-base-8,0.35173958333333327,2022-10-24,2024-09-06,0.62
togethercomputer/GPT-JT-6B-v1,0.37365625,2022-11-24,2024-06-12,6.0
PygmalionAI/pygmalion-6b,0.3683541666666667,2023-01-07,2024-06-12,6.0
EleutherAI/pythia-160m,0.4179375,2023-02-08,2024-06-09,0.213
EleutherAI/pythia-1.4b,0.35378125,2023-02-09,2025-01-28,1.515
EleutherAI/pythia-2.8b,0.3485729166666667,2023-02-13,2024-06-12,2.909
EleutherAI/pythia-410m,0.35781250000000003,2023-02-13,2024-06-09,0.506
EleutherAI/pythia-6.9b,0.3590520833333333,2023-02-14,2024-06-12,6.9
AI-Sweden-Models/gpt-sw3-40b,0.36323958333333334,2023-02-22,2024-06-26,39.927
EleutherAI/pythia-12b,0.3646979166666667,2023-02-28,2024-06-12,12.0
google/flan-ul2,0.3843541666666666,2023-03-03,2024-08-07,19.46
togethercomputer/GPT-NeoXT-Chat-Base-20B,0.3460625,2023-03-03,2024-06-12,20.0
OpenAssistant/oasst-sft-1-pythia-12b,0.33269791666666665,2023-03-09,2024-06-12,12.0
EleutherAI/pythia-1b,0.35520833333333335,2023-03-10,2025-01-27,1.079
