model,eval_date,gsm8k,winogrande,arc_challenge,hellaswag,truthfulqa
Corianas/Quokka_2.7b,2023-09-18T03-05-58.053951,0.0037907505686125853,0.5548539857932123,,,
Corianas/111m,2023-10-28T20-02-47.685862,0.0,0.5019731649565904,,,
Corianas/Quokka_1.3b,2023-09-23T07-19-08.613938,0.0,0.5272296764009471,,,
Corianas/gpt-j-6B-Dolly,2023-09-23T01-23-52.389948,0.009097801364670205,0.6471981057616417,,,
Corianas/Quokka_590m,2023-10-14T16-50-32.705897,0.0,0.5019731649565904,,,
TigerResearch/tigerbot-7b-sft,2023-09-16T22-00-02.425460,0.06292645943896892,0.6353591160220995,,,
Neko-Institute-of-Science/metharme-7b,2023-09-16T20-24-28.666298,0.050037907505686124,0.7253354380426204,,,
Neko-Institute-of-Science/pygmalion-7b,2023-09-22T20-45-41.888775,0.04624715693707354,0.7221783741120757,,,
lvkaokao/llama2-7b-hf-instruction-lora,2023-09-22T19-01-17.427442,0.09855951478392722,0.7419100236779794,,,
Tap-M/Luna-AI-Llama2-Uncensored,2023-10-13T11-27-26.030734,0.09855951478392722,0.7277032359905288,,,
jxhong/CAlign-alpaca-7b,2023-09-23T14-18-50.060462,0.013646702047005308,0.7205998421468035,,,
EleutherAI/pythia-1b-deduped,2023-09-23T07-59-54.225479,0.011372251705837756,0.5359116022099447,,,
EleutherAI/gpt-neo-1.3B,2023-10-19T06-57-24.325149,0.004548900682335102,0.569060773480663,,,
EleutherAI/pythia-1.4b-deduped,2023-10-16T20-03-21.000306,0.008339651250947688,0.5730071033938438,,,
EleutherAI/gpt-neo-125m,2023-10-18T09-42-25.890470,0.003032600454890068,0.5177584846093133,,,
EleutherAI/pythia-70m-deduped,2023-10-19T00-18-19.073831,0.0,0.4964483030781373,,,
EleutherAI/pythia-12b-deduped,2023-10-21T20-55-12.299775,0.014404852160727824,0.664561957379637,,,
EleutherAI/pythia-2.7b,2023-10-13T09-56-45.840530,0.01061410159211524,0.6211523283346487,,,
EleutherAI/pythia-2.8b-deduped,2023-10-22T02-23-42.600907,0.008339651250947688,0.6022099447513812,,,
EleutherAI/pythia-6.7b,2023-10-21T21-18-46.645949,0.01061410159211524,0.6471981057616417,,,
EleutherAI/pythia-160m,2023-10-19T00-42-11.960734,0.002274450341167551,0.5153906866614049,,,
EleutherAI/pythia-70m,2023-10-21T22-56-50.140170,0.003032600454890068,0.5146014206787688,,,
EleutherAI/polyglot-ko-12.8b,2023-10-19T02-17-54.630291,0.001516300227445034,0.5974743488555643,,,
EleutherAI/pythia-6.9b-deduped,2023-10-22T01-47-10.144336,0.016679302501895376,0.6408839779005525,,,
EleutherAI/gpt-neox-20b,2023-12-03T17-14-42.607420,0.05458680818802123,,,,
