benchmark,model,cutoff,release,months_since_bench_pub_at_cutoff,gap,orig_acc,pert_acc
mmlu,gpt-3.5-turbo-0125,2023-09,2024-01,31.964520367936924,0.01754385964912275,0.6710526315789473,0.6535087719298246
mmlu,gpt-4-turbo-2024-04-09,2023-12,2024-04,34.95400788436268,0.021929824561403577,0.8377192982456141,0.8157894736842105
mmlu,gpt-4o-2024-08-06,2023-10,2024-08,32.95006570302234,0.021929824561403466,0.8771929824561403,0.8552631578947368
mmlu,gpt-4.1-2025-04-14,2024-06,2025-04,40.9658344283837,0.004385964912280715,0.8640350877192983,0.8596491228070176
arc,gpt-3.5-turbo-0125,2023-09,2024-01,66.03153745072274,0.014999999999999902,0.82,0.805
arc,gpt-4-turbo-2024-04-09,2023-12,2024-04,69.02102496714849,0.015000000000000013,0.97,0.955
arc,gpt-4o-2024-08-06,2023-10,2024-08,67.01708278580814,-0.0050000000000000044,0.97,0.975
arc,gpt-4.1-2025-04-14,2024-06,2025-04,75.03285151116951,0.0050000000000000044,0.965,0.96
gsm8k,gpt-3.5-turbo-0125,2023-09,2024-01,22.996057818659658,0.12,0.795,0.675
gsm8k,gpt-4-turbo-2024-04-09,2023-12,2024-04,25.985545335085412,0.135,0.96,0.825
gsm8k,gpt-4o-2024-08-06,2023-10,2024-08,23.98160315374507,0.15499999999999992,0.965,0.81
gsm8k,gpt-4.1-2025-04-14,2024-06,2025-04,31.99737187910644,0.125,0.955,0.83
